latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.425304,-71.36563,47.0,0,GMT,GMT

time,temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),snowfall_sum (cm)
2021-01-01,38.6,25.1,31.0,0.00
2021-01-02,43.1,31.7,37.0,2.38
2021-01-03,36.1,24.4,30.8,0.35
2021-01-04,38.7,29.7,32.6,0.56
2021-01-05,34.2,27.2,30.8,0.42
2021-01-06,38.1,30.3,32.8,0.42
2021-01-07,37.2,27.0,30.5,0.00
2021-01-08,39.5,24.6,29.6,0.00
2021-01-09,32.6,22.3,27.0,0.00
2021-01-10,40.2,24.0,30.6,0.00
2021-01-11,38.8,22.6,28.4,0.00
2021-01-12,40.5,25.0,30.7,0.00
2021-01-13,40.3,25.4,31.3,0.14
2021-01-14,38.1,27.5,31.8,0.14
2021-01-15,41.7,27.9,34.4,0.00
2021-01-16,50.1,31.9,40.8,0.77
2021-01-17,42.6,33.3,37.9,0.00
2021-01-18,43.1,33.8,37.4,0.00
2021-01-19,40.4,22.6,30.7,0.07
2021-01-20,37.3,27.9,31.4,0.14
2021-01-21,33.6,18.7,25.2,0.00
2021-01-22,43.9,25.7,31.9,0.77
2021-01-23,30.8,19.0,26.5,0.00
2021-01-24,28.2,14.3,19.7,0.00
2021-01-25,36.4,19.4,25.3,0.00
2021-01-26,35.7,22.6,27.5,0.98
2021-01-27,38.4,27.7,31.5,3.99
2021-01-28,32.2,26.0,29.3,0.98
2021-01-29,24.0,6.3,13.6,0.00
2021-01-30,22.1,6.1,13.8,0.00
2021-01-31,26.2,3.0,14.2,0.00
2021-02-01,34.4,18.1,24.3,3.50
2021-02-02,35.3,30.1,33.0,19.53
2021-02-03,32.2,28.8,30.7,0.00
2021-02-04,37.2,28.5,31.6,0.21
2021-02-05,42.8,17.2,28.2,1.05
2021-02-06,39.2,25.4,31.7,0.00
2021-02-07,35.4,13.2,24.6,5.18
2021-02-08,32.6,12.8,22.9,0.77
2021-02-09,26.4,12.0,18.4,5.04
2021-02-10,29.6,11.3,20.4,0.35
2021-02-11,29.0,11.9,19.0,0.35
2021-02-12,24.5,4.9,14.7,0.00
2021-02-13,27.2,8.3,17.7,0.00
2021-02-14,33.5,23.3,26.6,0.00
2021-02-15,30.8,23.7,26.6,0.42
2021-02-16,44.4,26.0,34.9,0.42
2021-02-17,42.0,17.6,25.7,0.00
2021-02-18,29.3,12.6,20.2,1.47
2021-02-19,30.3,22.4,25.8,4.48
2021-02-20,32.1,23.1,27.1,2.17
2021-02-21,31.4,14.6,21.7,0.00
2021-02-22,39.2,8.8,23.7,0.77
2021-02-23,43.8,30.3,36.5,0.21
2021-02-24,46.7,32.5,38.6,0.00
2021-02-25,46.0,35.4,41.2,0.49
2021-02-26,39.3,20.9,30.3,0.00
2021-02-27,47.0,26.7,34.4,0.98
2021-02-28,47.4,30.4,38.7,0.00
2021-03-01,48.2,35.3,39.4,0.00
2021-03-02,35.3,9.2,20.3,0.00
2021-03-03,45.7,20.9,31.4,0.07
2021-03-04,38.2,26.0,32.4,0.00
2021-03-05,29.7,18.0,24.1,0.00
2021-03-06,33.8,16.4,24.8,0.00
2021-03-07,35.3,17.4,25.2,0.00
2021-03-08,39.4,19.1,28.1,0.00
2021-03-09,55.8,26.5,40.2,0.00
2021-03-10,53.3,26.3,38.6,0.00
2021-03-11,67.6,34.9,46.7,0.00
2021-03-12,59.0,48.8,54.8,0.00
2021-03-13,45.9,25.8,37.6,0.00
2021-03-14,44.1,28.2,35.6,0.21
2021-03-15,27.0,13.2,20.5,0.00
2021-03-16,41.5,18.0,26.3,0.00
2021-03-17,54.0,26.0,36.6,0.00
2021-03-18,47.9,32.2,39.0,0.00
2021-03-19,42.1,23.4,33.8,0.07
2021-03-20,55.9,24.8,37.4,0.00
2021-03-21,61.4,30.3,43.7,0.00
2021-03-22,61.4,31.7,45.2,0.00
2021-03-23,64.6,31.9,46.5,0.00
2021-03-24,59.4,37.1,48.9,0.00
2021-03-25,70.8,46.9,54.5,0.00
2021-03-26,67.5,52.8,58.7,0.00
2021-03-27,68.3,41.7,52.5,0.00
2021-03-28,56.4,39.5,44.3,0.00
2021-03-29,54.9,39.5,46.2,0.00
2021-03-30,58.0,30.4,42.8,0.00
2021-03-31,64.8,43.2,52.5,0.00
2021-04-01,59.0,39.8,47.4,0.00
2021-04-02,39.3,24.3,32.7,0.00
2021-04-03,48.8,25.4,34.9,0.00
2021-04-04,56.5,29.0,41.2,0.00
2021-04-05,55.6,41.7,48.0,0.00
2021-04-06,60.4,40.1,49.9,0.00
2021-04-07,59.0,39.1,48.7,0.00
2021-04-08,63.2,42.7,51.0,0.00
2021-04-09,68.0,40.2,51.6,0.00
2021-04-10,73.1,46.5,57.8,0.00
2021-04-11,63.7,45.4,52.0,0.00
2021-04-12,49.0,41.1,44.4,0.00
2021-04-13,58.7,37.8,47.1,0.00
2021-04-14,58.8,40.9,49.0,0.00
2021-04-15,50.4,40.6,44.6,0.00
2021-04-16,41.2,35.5,37.1,12.74
2021-04-17,47.3,35.1,39.6,0.42
2021-04-18,58.1,34.5,45.5,0.00
2021-04-19,63.8,38.3,50.7,0.00
2021-04-20,70.2,41.9,54.6,0.00
2021-04-21,66.7,42.0,53.6,0.00
2021-04-22,45.2,30.7,38.0,0.00
2021-04-23,55.8,34.1,43.3,0.00
2021-04-24,68.6,43.6,54.5,0.00
2021-04-25,57.0,47.3,51.5,0.00
2021-04-26,52.5,40.5,46.8,0.00
2021-04-27,65.1,38.2,48.2,0.00
2021-04-28,65.8,46.2,53.3,0.00
2021-04-29,56.4,45.9,49.5,0.00
2021-04-30,62.3,45.3,52.7,0.00
2021-05-01,59.9,39.6,49.1,0.00
2021-05-02,74.0,45.6,56.5,0.00
2021-05-03,67.4,48.4,56.9,0.00
2021-05-04,57.1,45.5,50.1,0.00
2021-05-05,52.4,44.9,48.1,0.00
2021-05-06,60.9,46.2,52.6,0.00
2021-05-07,58.1,42.1,49.7,0.00
2021-05-08,54.1,39.5,46.9,0.00
2021-05-09,63.8,42.7,52.6,0.00
2021-05-10,57.7,46.7,52.3,0.00
2021-05-11,60.6,47.0,53.5,0.00
2021-05-12,62.4,41.6,52.0,0.00
2021-05-13,65.8,42.5,54.4,0.00
2021-05-14,72.1,46.5,59.0,0.00
2021-05-15,74.5,47.3,61.7,0.00
2021-05-16,76.4,53.1,63.1,0.00
2021-05-17,76.2,48.3,61.0,0.00
2021-05-18,80.8,53.4,66.0,0.00
2021-05-19,80.2,58.6,68.0,0.00
2021-05-20,78.2,52.1,64.7,0.00
2021-05-21,79.5,52.4,64.8,0.00
2021-05-22,88.2,61.3,73.4,0.00
2021-05-23,89.6,67.4,76.5,0.00
2021-05-24,72.0,52.1,62.0,0.00
2021-05-25,80.0,50.6,63.1,0.00
2021-05-26,91.1,62.0,74.4,0.00
2021-05-27,81.2,64.2,72.5,0.00
2021-05-28,67.4,50.6,57.6,0.00
2021-05-29,48.7,43.0,45.9,0.00
2021-05-30,50.0,45.2,47.6,0.00
2021-05-31,61.1,46.3,52.1,0.00
2021-06-01,74.0,50.3,60.9,0.00
2021-06-02,79.9,54.5,66.4,0.00
2021-06-03,72.4,55.6,64.8,0.00
2021-06-04,77.1,64.2,69.0,0.00
2021-06-05,87.7,61.0,73.5,0.00
2021-06-06,90.2,68.7,79.3,0.00
2021-06-07,92.9,69.5,80.9,0.00
2021-06-08,93.5,72.9,81.3,0.00
2021-06-09,90.1,70.0,78.3,0.00
2021-06-10,77.7,61.4,68.9,0.00
2021-06-11,64.6,51.4,58.8,0.00
2021-06-12,72.5,58.1,63.2,0.00
2021-06-13,80.1,58.1,68.0,0.00
2021-06-14,70.5,56.8,64.8,0.00
2021-06-15,75.9,60.3,66.6,0.00
2021-06-16,73.0,56.2,65.3,0.00
2021-06-17,76.1,52.1,64.4,0.00
2021-06-18,83.6,55.3,68.5,0.00
2021-06-19,87.3,65.8,74.7,0.00
2021-06-20,87.8,65.9,76.6,0.00
2021-06-21,88.7,67.3,77.2,0.00
2021-06-22,82.5,66.3,73.7,0.00
2021-06-23,74.4,54.5,63.9,0.00
2021-06-24,76.5,52.5,64.7,0.00
2021-06-25,73.7,57.6,63.1,0.00
2021-06-26,83.1,62.5,72.4,0.00
2021-06-27,89.3,71.1,78.4,0.00
2021-06-28,95.5,73.9,83.4,0.00
2021-06-29,97.8,76.0,86.0,0.00
2021-06-30,98.2,74.9,83.8,0.00
2021-07-01,81.5,70.8,75.1,0.00
2021-07-02,69.6,58.9,64.1,0.00
2021-07-03,59.4,56.1,58.0,0.00
2021-07-04,67.6,55.3,59.8,0.00
2021-07-05,73.7,55.0,63.5,0.00
2021-07-06,86.3,65.2,73.7,0.00
2021-07-07,88.5,70.3,78.6,0.00
2021-07-08,77.3,63.5,68.6,0.00
2021-07-09,72.1,59.9,66.0,0.00
2021-07-10,74.0,64.6,68.9,0.00
2021-07-11,77.6,62.3,68.7,0.00
2021-07-12,70.2,65.1,67.7,0.00
2021-07-13,70.7,60.5,64.8,0.00
2021-07-14,79.8,63.6,69.0,0.00
2021-07-15,85.7,68.6,75.8,0.00
2021-07-16,88.9,71.8,78.9,0.00
2021-07-17,80.4,68.6,73.8,0.00
2021-07-18,72.6,65.9,68.9,0.00
2021-07-19,73.9,64.6,67.6,0.00
2021-07-20,84.1,65.0,73.5,0.00
2021-07-21,80.0,68.1,73.6,0.00
2021-07-22,75.8,59.7,68.1,0.00
2021-07-23,77.1,60.4,67.9,0.00
2021-07-24,79.1,59.6,68.3,0.00
2021-07-25,76.8,63.8,68.7,0.00
2021-07-26,86.8,66.3,75.8,0.00
2021-07-27,86.1,65.6,75.7,0.00
2021-07-28,73.2,64.1,68.1,0.00
2021-07-29,77.4,61.9,67.9,0.00
2021-07-30,76.9,63.1,69.2,0.00
2021-07-31,73.7,54.8,64.2,0.00
2021-08-01,78.9,56.6,66.4,0.00
2021-08-02,76.4,61.2,68.6,0.00
2021-08-03,77.8,57.8,68.4,0.00
2021-08-04,75.9,60.5,68.1,0.00
2021-08-05,69.5,61.3,64.5,0.00
2021-08-06,83.9,63.1,71.8,0.00
2021-08-07,87.7,66.3,76.2,0.00
2021-08-08,85.1,70.1,76.4,0.00
2021-08-09,78.1,67.8,71.3,0.00
2021-08-10,81.2,65.0,70.0,0.00
2021-08-11,89.9,70.8,78.7,0.00
2021-08-12,94.7,73.2,83.1,0.00
2021-08-13,94.3,72.3,81.9,0.00
2021-08-14,88.4,74.5,80.8,0.00
2021-08-15,82.1,63.2,73.6,0.00
2021-08-16,82.4,60.3,70.2,0.00
2021-08-17,81.8,64.2,71.6,0.00
2021-08-18,87.7,67.8,76.2,0.00
2021-08-19,78.5,69.2,73.2,0.00
2021-08-20,79.2,70.4,74.4,0.00
2021-08-21,85.2,71.5,77.0,0.00
2021-08-22,74.6,67.9,71.1,0.00
2021-08-23,78.3,69.5,73.4,0.00
2021-08-24,85.2,68.8,75.2,0.00
2021-08-25,89.3,70.3,78.7,0.00
2021-08-26,92.3,70.5,80.1,0.00
2021-08-27,91.5,73.3,80.8,0.00
2021-08-28,76.9,65.5,70.1,0.00
2021-08-29,75.9,61.7,66.8,0.00
2021-08-30,85.4,67.5,74.0,0.00
2021-08-31,82.8,65.1,74.6,0.00
2021-09-01,72.1,63.5,67.1,0.00
2021-09-02,72.2,58.2,63.5,0.00
2021-09-03,70.7,54.8,62.6,0.00
2021-09-04,75.5,57.5,65.2,0.00
2021-09-05,71.1,58.4,64.6,0.00
2021-09-06,78.6,64.4,69.9,0.00
2021-09-07,76.0,58.5,67.0,0.00
2021-09-08,80.7,59.6,69.3,0.00
2021-09-09,73.2,68.4,70.8,0.00
2021-09-10,72.2,62.2,66.7,0.00
2021-09-11,73.6,53.6,62.8,0.00
2021-09-12,80.9,61.6,69.2,0.00
2021-09-13,76.1,67.1,71.1,0.00
2021-09-14,75.6,58.0,65.6,0.00
2021-09-15,82.9,63.4,72.2,0.00
2021-09-16,74.7,63.8,67.3,0.00
2021-09-17,71.5,59.6,64.7,0.00
2021-09-18,78.0,62.8,68.1,0.00
2021-09-19,72.0,56.0,65.1,0.00
2021-09-20,72.1,54.3,61.7,0.00
2021-09-21,71.8,52.1,61.5,0.00
2021-09-22,74.9,62.3,68.3,0.00
2021-09-23,80.3,66.5,71.8,0.00
2021-09-24,72.6,65.0,70.2,0.00
2021-09-25,74.4,57.4,65.7,0.00
2021-09-26,71.3,59.6,64.5,0.00
2021-09-27,74.2,53.4,63.0,0.00
2021-09-28,70.4,61.7,65.7,0.00
2021-09-29,63.6,48.6,56.5,0.00
2021-09-30,60.4,48.8,55.1,0.00
2021-10-01,64.9,46.1,54.2,0.00
2021-10-02,72.1,48.5,58.1,0.00
2021-10-03,71.6,53.9,61.6,0.00
2021-10-04,58.9,56.2,57.9,0.00
2021-10-05,58.7,52.5,54.7,0.00
2021-10-06,68.5,53.3,59.1,0.00
2021-10-07,71.3,55.5,61.8,0.00
2021-10-08,71.4,54.4,60.7,0.00
2021-10-09,62.3,55.8,58.4,0.00
2021-10-10,62.6,53.3,57.1,0.00
2021-10-11,69.1,56.6,60.9,0.00
2021-10-12,72.6,55.1,61.4,0.00
2021-10-13,74.6,55.4,63.4,0.00
2021-10-14,75.8,58.0,64.6,0.00
2021-10-15,74.6,56.5,64.4,0.00
2021-10-16,75.0,62.9,67.5,0.00
2021-10-17,68.8,51.9,59.5,0.00
2021-10-18,59.2,47.4,52.5,0.00
2021-10-19,59.2,44.6,50.6,0.00
2021-10-20,70.6,52.2,59.4,0.00
2021-10-21,73.6,55.0,63.1,0.00
2021-10-22,69.4,58.3,62.4,0.00
2021-10-23,58.8,47.0,52.3,0.00
2021-10-24,56.4,40.2,48.0,0.00
2021-10-25,55.5,47.5,50.8,0.00
2021-10-26,59.5,49.7,54.7,0.00
2021-10-27,52.4,47.0,48.8,0.00
2021-10-28,52.7,43.2,48.1,0.00
2021-10-29,51.9,37.3,43.5,0.00
2021-10-30,59.1,46.8,52.6,0.00
2021-10-31,65.6,53.4,58.3,0.00
2021-11-01,57.9,48.4,54.1,0.00
2021-11-02,55.4,44.3,48.4,0.00
2021-11-03,49.6,36.7,44.4,0.00
2021-11-04,48.7,32.6,39.5,0.00
2021-11-05,48.1,32.3,39.8,0.00
2021-11-06,49.7,31.9,39.4,0.00
2021-11-07,53.0,34.2,41.5,0.00
2021-11-08,59.1,35.4,44.5,0.00
2021-11-09,65.0,41.4,50.4,0.00
2021-11-10,58.8,47.5,52.2,0.00
2021-11-11,54.2,36.4,44.2,0.00
2021-11-12,59.8,45.0,52.0,0.00
2021-11-13,57.9,39.3,48.5,0.00
2021-11-14,49.7,37.5,42.6,0.00
2021-11-15,47.6,37.2,42.0,0.00
2021-11-16,47.0,33.1,39.5,0.00
2021-11-17,46.2,30.8,37.7,0.00
2021-11-18,66.2,40.9,54.1,0.00
2021-11-19,58.4,40.0,46.1,0.00
2021-11-20,43.9,29.6,36.3,0.00
2021-11-21,51.9,35.6,42.0,0.00
2021-11-22,51.3,43.4,49.1,0.00
2021-11-23,42.2,30.1,34.7,0.00
2021-11-24,41.4,25.7,31.0,0.00
2021-11-25,51.0,31.1,38.1,0.00
2021-11-26,43.7,36.7,41.0,0.00
2021-11-27,36.2,30.6,33.9,1.82
2021-11-28,39.2,26.1,31.5,0.00
2021-11-29,39.2,29.2,33.7,0.00
2021-11-30,40.7,23.4,30.3,0.00
2021-12-01,45.1,29.8,36.1,0.07
2021-12-02,57.8,31.4,42.1,0.00
2021-12-03,52.5,32.2,40.8,0.00
2021-12-04,41.1,26.3,32.1,0.00
2021-12-05,43.5,31.4,36.1,0.14
2021-12-06,59.0,32.6,45.9,0.00
2021-12-07,58.8,33.7,40.8,0.00
2021-12-08,35.3,28.8,31.7,0.21
2021-12-09,37.0,25.1,29.8,0.49
2021-12-10,41.7,26.2,32.5,0.00
2021-12-11,57.4,27.1,38.8,0.00
2021-12-12,60.5,37.2,45.6,0.00
2021-12-13,49.7,36.0,41.3,0.00
2021-12-14,47.2,35.7,42.6,0.00
2021-12-15,42.7,25.6,34.3,0.00
2021-12-16,57.8,38.7,50.3,0.00
2021-12-17,59.3,44.3,53.3,0.00
2021-12-18,45.3,34.2,37.9,2.87
2021-12-19,40.0,26.3,34.8,0.14
2021-12-20,34.0,17.7,24.1,0.00
2021-12-21,44.2,25.8,33.2,0.00
2021-12-22,38.1,30.8,34.1,0.00
2021-12-23,33.4,23.5,28.0,0.00
2021-12-24,32.6,21.7,25.9,0.70
2021-12-25,33.3,23.6,28.4,0.00
2021-12-26,38.7,31.8,34.1,1.96
2021-12-27,33.7,25.4,29.8,0.00
2021-12-28,45.2,27.9,35.3,0.49
2021-12-29,39.4,32.7,35.8,0.21
2021-12-30,41.1,35.7,37.8,0.00
2021-12-31,46.7,33.7,39.5,0.00
